School,City,State,Conference,Division,AdmissionRate,SAT,Cost,Longitude,Latitude
Curry College,Milton,Massachusetts,Commonwealth Coast Conference,D3,0.9271,1055,57260,-71.116539,42.238061
Dean College,Franklin,Massachusetts,Great Northeast Athletic Conference,D3,0.7052,,59018,-71.397813,42.085634
Eastern Nazarene College,Quincy,Massachusetts,New England Collegiate Conference(North Atlantic Conference in 2023),D3,0.6438,1030,41194,-71.011079,42.271228
Elmira College,Elmira,New York,Empire 8,D3,0.8313,1103,48133,-76.813459,42.0961
Elms College,Chicopee,Massachusetts,Great Northeast Athletic Conference,D3,0.6184,1279,,,
Emerson College,Boston,Massachusetts,New England Women's and Men's Athletic Conference,D3,0.4105,1302,72119,-71.065384,42.352202
Emmanuel College,Boston,Massachusetts,Great Northeast Athletic Conference,D3,0.5275,1005,31589,-83.14822,34.283641
Emmanuel College,Boston,Massachusetts,Great Northeast Athletic Conference,D3,0.7552,1202,58787,-71.103634,42.340602
Endicott College,Beverly,Massachusetts,Commonwealth Coast Conference,D3,0.704,,52642,-70.840847,42.553296
Farmingdale State College,Farmingdale,New York,Skyline Conference,D3,0.6016,1075,16856,-73.42832,40.754224
Fitchburg State University,Fitchburg,Massachusetts,Massachusetts State Collegiate Athletic Conference,D3,0.8799,,22881,-71.789666,42.588298
Framingham State University,Framingham,Massachusetts,Massachusetts State Collegiate Athletic Conference,D3,0.7853,1044,25810,-71.437565,42.297116
Gordon College,Wenham,Massachusetts,Commonwealth Coast Conference,D3,0.6827,1159,51869,-70.82151,42.590567
Hamilton College,Clinton,New York,New England Small College Athletic Conference,D3,0.1841,1462,72190,-75.408195,43.050245
Hartwick College,Oneonta,New York,Empire 8,D3,0.931,1107,60479,-75.071994,42.457599
Hilbert College,Hamburg,New York,Allegheny Mountain Collegiate Conference,D3,0.9171,,31358,-78.820257,42.75464
Hobart College,Geneva,New York,Liberty League,D3,,,,,
Houghton College,Houghton,New York,Empire 8,D3,0.7998,,44952,-78.155426,42.426137
Hunter College,New York,New York,City University of New York Athletic Conference,D3,,,,,
Husson University,Bangor,Maine,North Atlantic Conference,D3,0.8466,1054,31303,-68.791476,44.829002
Ithaca College,Ithaca,New York,Liberty League,D3,0.7568,,64006,-76.494136,42.422154
John Jay College of Criminal Justice,New York,New York,City University of New York Athletic Conference,D3,,,,,
Johnson & Wales University,Providence,Rhode Island,Great Northeast Athletic Conference(Commonwealth Coast Conference in 2024),D3,,,,,
Keene State College,Keene,New Hampshire,Little East Conference,D3,0.9066,,28880,-72.279276,42.926452
Keuka College,Keuka Park,New York,Empire 8,D3,0.9091,,50240,-77.090562,42.615253
Lasell College,Newton,Massachusetts,Great Northeast Athletic Conference,D3,,,,,
Lehman College,The Bronx,New York,City University of New York Athletic Conference,D3,,,,,
Lesley University,Boston,Massachusetts,New England Collegiate Conference(North Atlantic Conference in 2023),D3,0.8381,,47620,-71.117303,42.38012
University of Maine at Farmington,Farmington,Maine,North Atlantic Conference,D3,0.9461,,22802,-70.147121,44.666911
Maine Maritime Academy,Castine,Maine,North Atlantic Conference,D3,0.5214,1085,28208,-68.804347,44.389654
University of Maine at Presque Isle,Presque Isle,Maine,North Atlantic Conference,D3,0.99,,17586,-68.016343,46.672285
Manhattanville College,Purchase,New York,Skyline Conference,D3,0.8981,,51214,-73.715645,41.032187
University of Massachusetts Boston,Boston,Massachusetts,Little East Conference,D3,0.7968,,28910,-71.036865,42.312881
Massachusetts College of Liberal Arts,North Adams,Massachusetts,Massachusetts State Collegiate Athletic Conference,D3,0.8768,1066,24458,-73.102817,42.691361
University of Massachusetts Dartmouth,Dartmouth,Massachusetts,Little East Conference,D3,0.7618,1094,28948,-71.004552,41.62869
